0,1,138,38,72,142,walk3c.avi
1,1,139,40,70,141,walk3c.avi
2,1,138,42,68,141,walk3c.avi
3,1,135,42,68,140,walk3c.avi
4,1,130,41,67,140,walk3c.avi
5,1,126,43,67,140,walk3c.avi
6,1,122,40,67,141,walk3c.avi
7,1,121,40,65,141,walk3c.avi
8,1,119,39,65,142,walk3c.avi
9,1,117,38,64,142,walk3c.avi
10,1,115,40,64,142,walk3c.avi
11,1,114,41,64,141,walk3c.avi
12,1,114,42,64,140,walk3c.avi
13,1,114,45,63,140,walk3c.avi
14,1,113,44,64,139,walk3c.avi
15,1,110,42,64,140,walk3c.avi
16,1,110,43,64,139,walk3c.avi
17,1,111,42,64,140,walk3c.avi
18,1,110,40,64,140,walk3c.avi
19,1,110,40,65,140,walk3c.avi
20,1,110,38,65,141,walk3c.avi
21,1,111,38,64,142,walk3c.avi
22,1,112,38,64,141,walk3c.avi
23,1,113,39,63,142,walk3c.avi
24,1,114,37,62,142,walk3c.avi
25,1,113,38,62,142,walk3c.avi
26,1,112,40,62,142,walk3c.avi
27,1,111,41,62,141,walk3c.avi
28,1,110,40,62,141,walk3c.avi
29,1,110,39,62,142,walk3c.avi
30,1,109,37,62,143,walk3c.avi
31,1,108,36,62,144,walk3c.avi
32,1,107,36,62,145,walk3c.avi
33,1,104,34,63,146,walk3c.avi
34,1,102,35,63,146,walk3c.avi
35,1,99,35,63,147,walk3c.avi
36,1,99,38,64,147,walk3c.avi
37,1,99,39,64,146,walk3c.avi
38,1,97,39,65,146,walk3c.avi
39,1,98,42,64,145,walk3c.avi
40,1,96,40,65,143,walk3c.avi
41,1,94,40,65,143,walk3c.avi
42,1,92,39,65,143,walk3c.avi
43,1,92,37,66,144,walk3c.avi
44,1,91,37,66,145,walk3c.avi
45,1,93,39,65,145,walk3c.avi
46,1,93,35,65,145,walk3c.avi
47,1,94,37,65,144,walk3c.avi
48,1,94,35,65,143,walk3c.avi
49,1,94,37,64,142,walk3c.avi
50,1,93,38,64,142,walk3c.avi
